name	logFC	Pval	logPval	FDR
SERPINC1	-4.81452952870855	1.27941957071825e-38	37.89298701035604	4.65261170127352e-37
TF	-4.29448172442333	5.22099409789463e-91	90.28224679773992	8.60923923314901e-89
S100P	-3.60052819700901	4.40503941476474e-81	80.35605020131817	5.54339433721184e-79
PRSS2	-3.41525401533494	7.01994681805108e-45	44.15366617800046	3.19708435084955e-43
UNC5B	-3.38593097441383	0	Inf	0
CYFIP2	-3.36643198062833	1.2884961252595e-63	62.88991688311304	1.01009647065425e-61
ASS1	-3.26516872888891	4.09930237263218e-36	35.387290046084	1.37563957515278e-34
SLC22A15	-3.09789248174582	3.98170570991241e-41	40.39993084206959	1.59334867822604e-39
SPRR2D	-3.00924615486446	1.20844758546026e-72	71.9177721816974	1.28417696748244e-70
G0S2	-3.00211250811467	2.46533935591854e-71	70.60812329129189	2.43077377319638e-69
TMEM154	-2.98675837403178	5.27238939115255e-66	65.27799252250664	4.34699414973991e-64
IL20RB	-2.88558351660546	1.08467596044088e-170	169.96469998495942	4.93992423126503e-168
ATF5	-2.85763246044336	8.19666046095446e-124	123.08636305478626	2.23979601853053e-121
BEX2	-2.8475092272008	2.01705242102048e-156	155.69528281479464	8.38743015419124e-154
PRSS8	-2.82278402022759	9.60537075934266e-41	40.01748586707205	3.76499040747349e-39
AKNA	-2.7581972147839	1.55118825210155e-280	279.80933549303893	4.94518814769975e-277
RASGRP3	-2.75527479580162	4.50191425471545e-56	55.34660278100555	2.77782631819991e-54
USP32P3	-2.67343028679143	2.68710558441744e-35	34.570715268502084	8.74131898277835e-34
ALDH1L2	-2.53761272438741	2.41265853652361e-267	266.6175041394245	4.61493324866237e-264
LAMP3	-2.44909080529056	2.35519422063583e-33	32.627973273047864	7.08335771262926e-32
ANXA3	-2.36849915743398	3.45552132399574e-76	75.46148642265881	4.08007480774015e-74
SLC6A9	-2.36744505827892	2.0275051338072e-114	113.69303803744661	4.72952660969074e-112
PHGDH	-2.33151531987269	2.41202359472968e-84	83.6176184481858	3.39244024411686e-82
GABRG1	-2.29038304802841	3.29260999633807e-34	33.482459707632785	1.01911074449765e-32
ADM2	-2.28351131644448	7.58630553510516e-59	58.119969670262535	5.18253043841041e-57
FAM107B	-2.28097475948417	5.31734253401329e-32	31.274305362284977	1.52717909895805e-30
ASNSP1	-2.25975350957546	7.91518629733375e-45	44.10153885882413	3.58771761837441e-43
TM6SF1	-2.24429737769236	6.27379212716481e-69	68.20246987510606	5.76947576001964e-67
